Trip no,Vendor name,Created at,Client name,Origin,Destination,Freight,Status,Remarks,Detail date,Handover to,Vehicle no,From,To,Mode,Amount,Status
VND-047,SACHIN,13-08-2026,BELRISE INDUSTRIES LTD UNIT -IX,PANTNAGAR,PUNE,0,Pending,DEIVERY,13.08.2026,NA,MH11BL6889,AIRPORT,MAHALUNGE,AIR,0,Pending
,,,HARIHARESHWAR AUTO TECH PRIVATE LIMITED,,PUNE,0,Pending,,,,,MAHALUNGE,DEHU,AIR,0,Pending
VND-048,SACHIN,13-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,13.08.2026,NA,MH12WR1911,DEHU,SING ROADLINES,ROAD,0,Pending
VND-049,SACHIN,13-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,,13.08.2026,NA,MH12WR1911,MAHALUNGE,DEHU,AIR,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,DEHU,AIRPORT,AIR,0,Pending
VND-050,SACHIN,14-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,AIR-BY TRAIN,14.08.2026,NA,MH12LT6492,MAHALUNGE,TALWADE,AIR,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,TALWADE,STATION,AIR,0,Pending
VND-051,SELF,14-08-2026,VENKATESH AUTOMOBILE PVT LTD,PUNE,PANTNAGAR,0,Pending,MCPL/BY TRAIN,14.08.2026,NA,PORTER,KHARABWADI,STATION,AIR,0,Pending
VND-052,TUPE JI,14-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,14.08.2026,NA,-,DEHU,TALWADE,ROAD,0,Pending
,,,,,PANTNAGAR,0,Pending,,,,,TALWADE,SING ROADLINES,ROAD,0,Pending
VND-053,SACHIN,15-08-2026,S. M. ENTERPRISES,PUNE,PANTNAGAR,0,Pending,,15.08.2026,NA,MH12LT6492,HADAPSAR,STATION,TRAIN,0,Pending
VND-054,SHEIKH,16-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,,16.08.2026,NA,MH14LL1098,MAHALUNGE,AIRPORT,AIR,0,Pending
,,,,,PANTNAGAR,0,Pending,,,,,,,AIR,0,Pending
VND-055,SHEIKH,16-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,BY AIR,16.08.2026,NA,MH14GD9306,CHICHWAD,TALWADE,TRAIN,0,Pending
