"awb","date","mode","client","origin","destination","consignor","consignee","box","actual_wt","charge_wt","type_of_delivery","insured","remarks","clerk_name","status","frieght_charge","awb_charge","pickup_charge","delivery_charge","packaging_charge","handling_charge"
"204773","2026-05-30","Road","U. S. AUTO CONTROLS PVT LTD ","PUNE","PANTNAGAR","U. S. AUTO CONTROLS PVT LTD ","METALFABTECH LLP","08","0.00","140.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204774","2026-05-30","Road","U. S. AUTO CONTROLS PVT LTD ","PUNE","PANTNAGAR","U. S. AUTO CONTROLS PVT LTD ","HARIHARESHWAR AUOT TECH PRIVATE LIMITED","12","0.00","280.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204775","2026-05-30","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","22","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204776","2026-05-29","Air","ASHA INDUSTRIES","AURANGABAD","PANTNAGAR","ASHA INDUSTRIES","BELRISE INDUSTRIES LTD UNIT -IX","02","0.00","60.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204777","2026-05-30","Road","BELRISE INDUSTRIES LTD UNIT -IX","DELHI","PANTNAGAR","PLASAN SANA LTD.","BELRISE INDUSTRIES LTD UNIT -IX","02 W","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204778","2026-05-31","Air","STARWAYS PRECISIONS PVT. LTD. ","PUNE","SITARGANJ","STARWAYS PRECISIONS PVT. LTD. ","STARWAYS INDUSTRIES (SI)","02","0.00","50.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204779","2026-05-31","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","20","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204780","2026-06-01","Road","SHREYA INDUSTRIES - PNQ","PUNE","PANTNAGAR","SHREYA INDUSTRIES - PNQ","SHREYA INDUSTRIES- PNT","20","0.00","20.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204781","2026-06-01","Road","SHREYA INDUSTRIES - PNQ","PUNE","PANTNAGAR","SHREYA INDUSTRIES - PNQ","SHREYA INDUSTRIES- PNT","16","0.00","16.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204782","2026-05-31","Road","CJ DARCL LOGISTICS LIMITED","DELHI","PANTNAGAR","LUMAX CORNAGLIA AUTO TECHNOLO - PNQ","LUMAX CORNAGLIA AUTO TECH- PTN","04","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204783","2026-06-01","Air","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","05","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204784","2026-06-01","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","06","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204785","2026-06-01","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","22","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204786","2026-06-02","Road","SKY 4 PUNE","DELHI-STATION","PANTNAGAR","SKS FASTENERS LTD.","DANA ANAND INDIA PVT LTD","10","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204787","2026-06-01","Road","CJ DARCL LOGISTICS LIMITED","DELHI","PANTNAGAR","LUMAX CORNAGLIA AUTO TECHNOLO - PNQ","LUMAX CORNAGLIA AUTO TECH- PTN","08","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204788","2026-06-02","Road","U. S. AUTO CONTROLS PVT LTD ","PUNE","PANTNAGAR","U. S. AUTO CONTROLS PVT LTD ","HARIHARESHWAR AUOT TECH PRIVATE LIMITED","15","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204789","2026-06-02","Road","SKY 4 PUNE","PANTNAGAR","PANTNAGAR","L & L PRODICTS INDIA PVT. LTD.","L & L PRODICTS INDIA PVT. LTD.","54","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204790","2026-06-02","Road","SKY 4 PUNE","PANTNAGAR","PANTNAGAR","L & L PRODICTS INDIA PVT. LTD.","L & L PRODICTS INDIA PVT. LTD.","55","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204791","2026-06-02","Train","BELRISE INDUSTRIES LTD,UNIT-7E","PUNE","PANTNAGAR","KAPSE INDUSTRIES","BELRISE INDUSTRIES LTD,UNIT-7E","20","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204792","2026-06-02","Air","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","08","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204793","2026-06-02","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","07","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204794","2026-06-02","Air","REUTTER INNOVATIVE CLOSURE TECHNOLOGIES (P) LTD","PUNE","CHENNAI","CRD COMPONENTS ","REUTTER INNOVATIVE CLOSURE TECHNOLOGIES (P) LTD","01","0.00","50.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204795","2026-06-02","Air","STARWAYS PRECISIONS PVT. LTD. ","PUNE","SITARGANJ","STARWAYS PRECISIONS PVT. LTD. ","STARWAYS INDUSTRIES (SI)","03","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204796","2026-06-02","Train","STARWAYS PRECISIONS PVT. LTD. ","PUNE","SITARGANJ","STARWAYS PRECISIONS PVT. LTD. ","STARWAYS INDUSTRIES (SI)","31","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204797","2026-06-02","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","23","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204798","2026-06-03","Road","SHREYA INDUSTRIES - PNQ","PUNE","PANTNAGAR","SHREYA INDUSTRIES - PNQ","SHREYA INDUSTRIES- PNT","16","0.00","16.00","Auto Parts ","Client","NA","Admin","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204799","2026-06-03","Road","SHREYA INDUSTRIES - PNQ","PUNE","PANTNAGAR","SHREYA INDUSTRIES - PNQ","SHREYA INDUSTRIES- PNT","20","0.00","20.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204800","2026-06-02","Air","ASHA INDUSTRIES","AURANGABAD","PANTNAGAR","ASHA INDUSTRIES","BELRISE INDUSTRIES LTD ","2","0.00","60.00","AUTO PARTS","Client",,"Admin","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204801","2026-06-03","Air","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","02","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204802","2026-06-03","Air","DALI SAMIR ENGG.PVT LTD-PUNE","PUNE","PANTNAGAR","PREMIER SEALS PVT LTD","DALI SAMIR ENGG PVT LTD- PTN","01","0.00","50.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204803","2026-06-03","Air","STARWAYS PRECISIONS PVT. LTD. ","PUNE","SITARGANJ","STARWAYS PRECISIONS PVT. LTD. ","STARWAYS INDUSTRIES (SI)","02","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
